ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,weighted avg precision,weighted avg recall,weighted avg f1
0.078,0.952,0.992,0.972,0.773,0.359,0.491,0.946,0.939,0.946,0.937
0.200,0.961,0.978,0.970,0.639,0.494,0.557,0.943,0.938,0.943,0.940
0.400,0.970,0.948,0.959,0.483,0.617,0.542,0.924,0.934,0.924,0.929
0.600,0.972,0.930,0.950,0.422,0.657,0.514,0.910,0.932,0.910,0.919
0.800,0.975,0.908,0.940,0.371,0.699,0.485,0.893,0.931,0.893,0.907
1.000,0.977,0.879,0.926,0.323,0.740,0.449,0.869,0.930,0.869,0.891
