ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,auc,fpr,tpr
0.021149848792006147,0.9845896445016953,0.9967085245616613,0.9906120211415735,0.629054054054054,0.26351542598358335,0.3714342708956712,0.9815003449237498,0.8068218492778747,0.6301119752726223,0.6810231460186223,0.9772149854416402,0.9815003449237498,0.9777687927044817,0.6301119752726224,"[0.0, 0.003291475438338794, 1.0]","[0.0, 0.26351542598358335, 1.0]"
0.2,0.9866053951830014,0.9821247103471638,0.9843599539106124,0.30509264654469176,0.3705066515709029,0.33463283696555246,0.9694382880039923,0.6458490208638465,0.6763156809590334,0.6594963954380824,0.9724691896909983,0.9694382880039923,0.970883058493449,0.6763156809590333,"[0.0, 0.017875289652836274, 1.0]","[0.0, 0.3705066515709029, 1.0]"
0.4,0.986644638445265,0.9828351654281167,0.9847362176936131,0.3145798419918602,0.37192187942258703,0.3408560311284047,0.9701633617589643,0.6506122402185626,0.6773785224253519,0.6627961244110089,0.972704406093649,0.9701633617589643,0.9713806016061646,0.6773785224253519,"[0.0, 0.017164834571883364, 1.0]","[0.0, 0.37192187942258703, 1.0]"
0.6,0.9880096966683242,0.9529750681227499,0.9701761961946993,0.16978036517597248,0.4540050948202661,0.24713994068025114,0.9426252366764029,0.5788950309221483,0.7034900814715079,0.6086580684374752,0.9710376620399612,0.9426252366764029,0.9551786937906099,0.7034900814715079,"[0.0, 0.047024931877250147, 1.0]","[0.0, 0.4540050948202661, 1.0]"
0.8,0.9894110561270999,0.7288189958301983,0.8393539288506983,0.04702560915229598,0.6317577129917917,0.08753541909738903,0.7268057125244015,0.518218332639698,0.680288354410995,0.46344467397404365,0.9698637265170137,0.7268057125244015,0.823759413608248,0.680288354410995,"[0.0, 0.2711810041698018, 1.0]","[0.0, 0.6317577129917917, 1.0]"
1.0,0.9901119818060465,0.6003345434052082,0.74746106215499,0.03660669123491582,0.7169544296631758,0.06965680343196569,0.6027535189561286,0.5133593365204812,0.658644486534192,0.4085589327934778,0.9703340000263115,0.6027535189561286,0.733401779619472,0.658644486534192,"[0.0, 0.3996654565947918, 1.0]","[0.0, 0.7169544296631758, 1.0]"
