ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1
0.001,0.999,1.000,1.000,0.000,0.000,0.000,0.999,0.500,0.500,0.500,0.998,0.999,0.999
0.200,0.999,0.985,0.992,0.010,0.157,0.018,0.984,0.504,0.571,0.505,0.998,0.984,0.991
0.400,0.999,0.962,0.980,0.005,0.213,0.010,0.961,0.502,0.587,0.495,0.998,0.961,0.979
0.600,0.999,0.914,0.955,0.004,0.386,0.008,0.914,0.502,0.650,0.482,0.998,0.914,0.954
0.800,1.000,0.754,0.859,0.002,0.622,0.005,0.753,0.501,0.688,0.432,0.999,0.753,0.859
1.000,1.000,0.725,0.840,0.002,0.677,0.005,0.725,0.501,0.701,0.422,0.999,0.725,0.839
