ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,auc,fpr,tpr
0.00017562004247502957,0.9998285798095832,0.999998521988561,0.9999135436783618,0.3333333333333333,0.004291845493562232,0.008474576271186442,0.9998271024325727,0.6665809565714582,0.5021451837410617,0.5041940599747742,0.9997138368617692,0.9998271024325727,0.9997428588455749,0.5021451837410617,"[0.0, 1.4780114390695327e-06, 1.0]","[0.0, 0.004291845493562232, 1.0]"
0.2,0.9998792137498813,0.972691152143172,0.9860978155636664,0.00199851461751401,0.31759656652360513,0.003972034728465802,0.972578371918184,0.5009388641836977,0.6451438593333886,0.4950349251460661,0.9997074199170062,0.972578371918184,0.9859287340768695,0.6451438593333886,"[0.0, 0.027308847856827988, 1.0]","[0.0, 0.31759656652360513, 1.0]"
0.4,0.9999018668045319,0.9261777626527941,0.961628854493725,0.0010999560017599297,0.4721030042918455,0.0021947983279627286,0.9260995897377166,0.5005009114031459,0.6991403834723198,0.4819118264108439,0.9997299143770633,0.9260995897377166,0.961463679584497,0.6991403834723198,"[0.0, 0.07382223734720594, 1.0]","[0.0, 0.4721030042918455, 1.0]"
0.6,0.9999179100487783,0.8776609286567574,0.9348090886228493,0.0008178366861619618,0.5815450643776824,0.0016333763274949673,0.8776099497377905,0.5003678733674701,0.7296029965172199,0.4682212324751721,0.9997459062900343,0.8776099497377905,0.9346484343156755,0.7296029965172199,"[0.0, 0.12233907134324266, 1.0]","[0.0, 0.5815450643776824, 1.0]"
0.8,0.9999333846484466,0.8097806667974706,0.8948670341888751,0.0006212168862280099,0.6866952789699571,0.0012413108242303873,0.8097594765784754,0.5002773007673373,0.7482379728837139,0.4480541725065528,0.9997613443758089,0.8097594765784754,0.8947131887559431,0.748237972883714,"[0.0, 0.19021933320252932, 1.0]","[0.0, 0.6866952789699571, 1.0]"
1.0,0.9999448514386389,0.7503738445183696,0.8573666775239556,0.0005237251951764022,0.759656652360515,0.0010467287508889064,0.7503754426343974,0.5002342883169076,0.7550152484394423,0.42920670313742226,0.9997727924078519,0.7503754426343974,0.8572192546042666,0.7550152484394423,"[0.0, 0.24962615548163036, 1.0]","[0.0, 0.759656652360515, 1.0]"
