ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1
0.179,0.868,0.999,0.929,0.750,0.016,0.031,0.868,0.809,0.507,0.480,0.852,0.868,0.809
0.200,0.867,1.000,0.929,1.000,0.005,0.010,0.867,0.933,0.503,0.470,0.885,0.867,0.806
0.400,0.884,0.926,0.905,0.311,0.215,0.254,0.831,0.597,0.571,0.579,0.808,0.831,0.818
0.600,0.907,0.846,0.875,0.305,0.440,0.361,0.791,0.606,0.643,0.618,0.827,0.791,0.807
0.800,0.915,0.759,0.830,0.259,0.545,0.351,0.731,0.587,0.652,0.590,0.828,0.731,0.766
1.000,0.927,0.662,0.772,0.232,0.660,0.343,0.662,0.579,0.661,0.558,0.834,0.662,0.715
