ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,weighted avg precision,weighted avg recall,weighted avg f1
0.039,0.986,0.995,0.991,0.838,0.623,0.715,0.982,0.980,0.982,0.981
0.200,0.991,0.982,0.986,0.614,0.753,0.676,0.974,0.977,0.974,0.975
0.400,0.993,0.969,0.981,0.502,0.830,0.626,0.964,0.975,0.964,0.968
0.600,0.994,0.964,0.979,0.474,0.850,0.609,0.960,0.975,0.960,0.966
0.800,0.995,0.945,0.969,0.374,0.863,0.522,0.942,0.972,0.942,0.953
1.000,0.994,0.932,0.962,0.324,0.856,0.470,0.930,0.970,0.930,0.944
