ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,auc,fpr,tpr
1.150493484301534e-05,0.9999892457652944,0.9999999179057292,0.9999945818070379,0.0,0.0,0.0,0.9999891636727892,0.4999946228826472,0.4999999589528646,0.49999729090351896,0.9999784916471252,0.9999891636727892,0.9999838276314835,0.4999999589528646,"[0.0, 8.209427082144676e-08, 1.0]","[0.0, 0.0, 1.0]"
0.2,0.9999903739405999,0.980749221869454,0.9902763424266268,6.822678583611926e-05,0.12213740458015267,0.0001363773903334001,0.9807399881572079,0.500029300363218,0.5514433132248033,0.4952063599084801,0.9999796205440248,0.9807399881572079,0.9902656942299254,0.5514433132248033,"[0.0, 0.01925077813054598, 1.0]","[0.0, 0.12213740458015267, 1.0]"
0.4,0.9999919671037555,0.9095513236141379,0.9526299002530421,3.811916413749038e-05,0.32061068702290074,7.622926495931263e-05,0.9095449900088243,0.5000150431339465,0.6150810053185194,0.4763530647590007,0.9999812133662627,0.9095449900088243,0.9526196562681355,0.6150810053185193,"[0.0, 0.09044867638586213, 1.0]","[0.0, 0.32061068702290074, 1.0]"
0.6,0.9999931418293544,0.8259441374757227,0.904673432511574,2.9241738147781143e-05,0.4732824427480916,5.847986311939136e-05,0.8259403448693973,0.5000111917837511,0.6496132901119072,0.45236595618734665,0.9999823879837584,0.8259403448693973,0.9046637040708536,0.6496132901119072,"[0.0, 0.17405586252427732, 1.0]","[0.0, 0.4732824427480916, 1.0]"
0.8,0.9999944921711613,0.760151572294103,0.8637321650237993,2.738130035164435e-05,0.6106870229007634,5.476014542925623e-05,0.7601499649173906,0.5000109367357565,0.6854192975974331,0.4318934625846143,0.9999837382910358,0.7601499649173906,0.8637228768350398,0.6854192975974333,"[0.0, 0.23984842770589695, 1.0]","[0.0, 0.6106870229007634, 1.0]"
1.0,0.9999954366019113,0.6836063816145611,0.8120723732297731,2.4130015637806907e-05,0.7099236641221374,4.8258390992597265e-05,0.6836066646367708,0.5000097833087745,0.6967650228683493,0.4060603158103829,0.9999846826766641,0.6836066646367708,0.8120636405325724,0.6967650228683493,"[0.0, 0.31639361838543884, 1.0]","[0.0, 0.7099236641221374, 1.0]"
