ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,weighted avg precision,weighted avg recall,weighted avg f1
0.004,0.996,1.000,0.998,0.179,0.006,0.011,0.996,0.992,0.996,0.994
0.200,0.999,0.536,0.697,0.007,0.812,0.014,0.537,0.994,0.537,0.695
0.400,0.999,0.510,0.675,0.007,0.832,0.014,0.511,0.995,0.511,0.672
0.600,0.999,0.442,0.613,0.006,0.853,0.013,0.444,0.994,0.444,0.611
0.800,0.999,0.419,0.590,0.006,0.864,0.012,0.421,0.995,0.421,0.588
1.000,0.998,0.365,0.534,0.006,0.867,0.011,0.367,0.994,0.367,0.532
