ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,auc,fpr,tpr
0.002138515254261717,0.9979276871898347,0.9999705751301,0.9989480867146081,0.3,0.006036217303822937,0.011834319526627219,0.9978984105943597,0.6489638435949173,0.5030033962169614,0.5053912031206177,0.9964726403947236,0.9978984105943597,0.9968901418161328,0.5030033962169614,"[0.0, 2.9424869900039512e-05, 1.0]","[0.0, 0.006036217303822937, 1.0]"
0.2,0.9987305867315672,0.9590910237332594,0.9785095186835525,0.020827044974343494,0.4164989939637827,0.03967037178995783,0.9579598223087281,0.5097788158529554,0.6877950088485211,0.5090899452367552,0.9966918434054629,0.9579598223087281,0.9765522172082195,0.687795008848521,"[0.0, 0.04090897626674065, 1.0]","[0.0, 0.4164989939637827, 1.0]"
0.4,0.9990140924043063,0.8987406155682783,0.9462282312849906,0.011733333333333333,0.5754527162977867,0.02299774847217755,0.8980666216425955,0.5053737128688198,0.7370966659330325,0.48461298987858403,0.9969557993594418,0.8980666216425955,0.9443034709125018,0.7370966659330325,"[0.0, 0.1012593844317217, 1.0]","[0.0, 0.5754527162977867, 1.0]"
0.6,0.9990891948975221,0.8530353855078312,0.9203035751942694,0.00884504167375404,0.6277665995975855,0.017444298454054964,0.8525657428342512,0.5039671182856381,0.7404009925527084,0.4688739368241622,0.997024723738157,0.8525657428342512,0.9184212849209794,0.7404009925527084,"[0.0, 0.14696461449216877, 1.0]","[0.0, 0.6277665995975855, 1.0]"
0.8,0.9992356341095661,0.8022985026944773,0.89000284447263,0.007407720068378955,0.7062374245472837,0.014661654135338346,0.802098233574254,0.5033216770889725,0.7542679636208804,0.4523322493039842,0.9971678611094172,0.802098233574254,0.8881779241878976,0.7542679636208804,"[0.0, 0.19770149730552264, 1.0]","[0.0, 0.7062374245472837, 1.0]"
1.0,0.999292120208879,0.7714234070636502,0.8706958516490686,0.006703931024404501,0.738430583501006,0.013287232309335456,0.7713546232869529,0.5029980256166418,0.7549269952823281,0.44199154197920204,0.9972227621793197,0.7713546232869529,0.8689083173721376,0.754926995282328,"[0.0, 0.2285765929363498, 1.0]","[0.0, 0.738430583501006, 1.0]"
