ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,weighted avg precision,weighted avg recall,weighted avg f1
0.004,0.996,1.000,0.998,0.179,0.006,0.011,0.996,0.992,0.996,0.994
0.200,0.996,1.000,0.998,0.212,0.008,0.015,0.996,0.993,0.996,0.994
0.400,0.996,1.000,0.998,0.121,0.014,0.024,0.995,0.992,0.995,0.994
0.600,0.996,1.000,0.998,0.000,0.000,0.000,0.996,0.992,0.996,0.994
0.800,0.972,0.059,0.111,0.003,0.600,0.005,0.061,0.968,0.061,0.111
1.000,0.964,0.029,0.057,0.003,0.740,0.006,0.032,0.960,0.032,0.057
