ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,auc,fpr,tpr
0.17905166312809626,0.8999258710155671,0.9806138933764136,0.9385388480865868,0.7,0.2931937172774869,0.41328413284132837,0.8887333799860042,0.7999629355077835,0.6369038053269502,0.6759114904639576,0.8732037986824858,0.8887333799860042,0.8683333543064298,0.6369038053269502,"[0.0, 0.01938610662358643, 1.0]","[0.0, 0.2931937172774869, 1.0]"
0.2,0.9192,0.9281098546042004,0.9236334405144695,0.5027932960893855,0.4712041884816754,0.4864864864864865,0.8670398880335899,0.7109966480446928,0.6996570215429379,0.705059963500478,0.8635431207509257,0.8670398880335899,0.8652044214666424,0.6996570215429379,"[0.0, 0.07189014539579967, 1.0]","[0.0, 0.4712041884816754, 1.0]"
0.4,0.923138510808647,0.931340872374798,0.927221552070768,0.5277777777777778,0.4973821989528796,0.5121293800539083,0.8733379986004198,0.7254581442932124,0.7143615356638389,0.7196754660623381,0.8702946339654727,0.8733379986004198,0.8717403730258274,0.7143615356638388,"[0.0, 0.06865912762520193, 1.0]","[0.0, 0.4973821989528796, 1.0]"
0.6,0.9245762711864407,0.8812600969305331,0.9023986765922251,0.40963855421686746,0.5340314136125655,0.4636363636363636,0.834849545136459,0.6671074127016541,0.7076457552715493,0.6830175201142943,0.8557497463850492,0.834849545136459,0.8437537488283555,0.7076457552715493,"[0.0, 0.11873990306946688, 1.0]","[0.0, 0.5340314136125655, 1.0]"
0.8,0.944015444015444,0.789983844911147,0.8601583113456466,0.3384223918575064,0.6963350785340314,0.45547945205479456,0.7774667599720084,0.6412189179364752,0.7431594617225892,0.6578188817002206,0.8630719359943341,0.7774667599720084,0.8060689746594655,0.7431594617225892,"[0.0, 0.210016155088853, 1.0]","[0.0, 0.6963350785340314, 1.0]"
1.0,0.9527806925498427,0.7334410339256866,0.8288452761296212,0.3067226890756303,0.7643979057591623,0.43778110944527737,0.7375787263820853,0.6297516908127365,0.7489194698424244,0.6333131927874494,0.8664286431001753,0.7375787263820853,0.7765756779233863,0.7489194698424244,"[0.0, 0.2665589660743134, 1.0]","[0.0, 0.7643979057591623, 1.0]"
