ratio,majority precision,majority recall,majority f1,minority precision,minority recall,minority f1,accuracy,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,auc,fpr,tpr
0.17905166312809626,0.9020926756352765,0.9749596122778675,0.9371118012422361,0.6593406593406593,0.31413612565445026,0.425531914893617,0.8866340097970609,0.780716667487968,0.6445478689661589,0.6813218580679266,0.8696464649199008,0.8866340097970609,0.8687340837526727,0.644547868966159,"[0.0, 0.025040387722132473, 1.0]","[0.0, 0.31413612565445026, 1.0]"
0.2,0.9013452914798207,0.9741518578352181,0.9363354037267081,0.6483516483516484,0.3089005235602094,0.41843971631205673,0.8852344296710987,0.7748484699157345,0.6415261906977138,0.6773875600193824,0.8675301859252506,0.8852344296710987,0.8671135168854215,0.6415261906977137,"[0.0, 0.025848142164781908, 1.0]","[0.0, 0.3089005235602094, 1.0]"
0.4,0.9245901639344263,0.9111470113085622,0.9178193653376729,0.47368421052631576,0.518324607329843,0.495,0.8586424072778167,0.699137187230371,0.7147358093192027,0.7064096826688364,0.8643221183774289,0.8586424072778167,0.8613053703905104,0.7147358093192028,"[0.0, 0.0888529886914378, 1.0]","[0.0, 0.518324607329843, 1.0]"
0.6,0.9314179796107507,0.8117932148626817,0.8675010789814415,0.3342857142857143,0.612565445026178,0.4325323475046211,0.7851644506648006,0.6328518469482325,0.7121793299444299,0.6500167132430312,0.8516053395288179,0.7851644506648006,0.809363200946401,0.7121793299444299,"[0.0, 0.18820678513731826, 1.0]","[0.0, 0.612565445026178, 1.0]"
0.8,0.945067264573991,0.6809369951534734,0.7915492957746479,0.2644320297951583,0.743455497382199,0.39010989010989006,0.689293212036389,0.6047496471845747,0.7121962462678362,0.590829592942269,0.8540936257757006,0.689293212036389,0.7378929441427594,0.7121962462678362,"[0.0, 0.31906300484652667, 1.0]","[0.0, 0.743455497382199, 1.0]"
1.0,0.9526315789473684,0.5848142164781907,0.7247247247247247,0.23168908819133036,0.8115183246073299,0.3604651162790698,0.6151154653603919,0.5921603335693494,0.6981662705427603,0.5425949205018973,0.8562704762640911,0.6151154653603919,0.6760378211466141,0.6981662705427603,"[0.0, 0.41518578352180935, 1.0]","[0.0, 0.8115183246073299, 1.0]"
